,Clue,Answer,Explanation
14047,Caught up with Dynasty and got ahead (7),TANGLED,"Definition: Caught up
TANG (Chinese dynasty) + LED (got ahead)
"
14048,Money bet on gorilla (10),SILVERBACK,"Definition: gorilla
SILVER (money) + BACK (bet on)
"
14049,Question imbibing English dairy product (4),WHEY,"Definition: dairy product
WHY (question) round E (English)
"
14050,Works in bed turning ends of socks (4),HOES,"Definition: Works in bed
HOSE (socks) with the last two letters reversed
"
14051,"Has bath just before bed for a fresh start (5,5)",CLEAN SLATE,"Definition: fresh start
CLEANS LATE (has bath just before bed)
"
14052,Get pumped up about female behind (7),REFLATE,"Definition: Get pumped up
RE (about) + F (female) + LATE (behind)
"
14053,Twitch is part of villain’s complaint (9),CRITICISM,"Definition: complaint
TIC IS (twitch is) in CRIM (slang for criminal – which I’ve never seen before but it’s in Chambers)
"
14054,One may be clapped into these clubs (5),IRONS,"Definition: One may be clapped into theseclubs
Double definition, the first meaning chains, the second golf clubs
"
14055,"It’s obvious I don’t think casual dreams need interpretation (2,5,2,3)",AS CLEAR AS MUD,"Definition: It’s obvious I don’t think
An anagram (need interpretation) of CASUAL DREAMS – I think the cryptic grammar needs ‘needs’ but that’s probably a quibble

 
"
14056,"across, 1 across Given suggestion to do manual work, I collapse or die, first to suffer really terrible death — fracas on a foreign street (2,3,4,5,4,3,12)",IF ALL ELSE FAILS READ THE INSTRUCTIONS,"Definition: Given suggestion to do manual work
Having got the answer, I left the parsing to the end, half-expecting an anagram of Araucarian proportions but, in the end, it fell out quite readily, with only one five-letter anagram in the middle:
"
14057,"Ship, rather infested with cockroach, cleaned out (8)",SCHOONER,"Definition: Ship
SOONER (rather) round C[ockroac]H, cleaned out
"
14058,Programmed factory worker to steal books (5),ROBOT,"Definition: Programmed factory worker
ROB (steal) + OT (Old Testament (books)
"
14059,Hardbacks from Sweden in accurate translation (9),CRUSTACEA,"Definition: Hardbacks
S (Sweden – International Vehicle Registration) in an anagram (translation) of ACCURATE – my favourite clue, * *I think
"
14060,I must have bits to eat (6),IODINE,"Definition: I
I’ve stared at this for ages: I (chemical symbol) is the definition and DINE is to eat but that’s as far as I can get; * Edit – please see Daniel @1*
"
14061,Scar is sort of orange (5),NAVEL,"Definition: Scarsort of orange
Double definition
"
14062,Wears shoes? (6),SCUFFS,"Cryptic (?) definition, depending on two senses of ‘wear’
"
14063,Period in which I would always support father (6),FRIDAY,"Definition: Period
I’D (I would) + AY (always) after (supporting, in a down clue) FR (father)
"
14064,"At work, my partner may give me a lift (9)",BALLERINA,"Cryptic definition
"
14065,Try a couple of old drawers at first — trunks hold me in (9),HEARTWOOD,"Definition: trunks hold me in
HEAR (try) + TWO (a couple) + the first letters of Old Drawers – a new word for me but easy enough to guess: ‘the central core of dark hard wood in tree trunks’ (Collins)
"
14066,"Vault across ship is our aim, ridiculously (8)",OSSARIUM,"Definition: Vault
An anagram (ridiculously) of OUR AIM round SS (ship) – I had to resort to my Latin dictionary for this, as it’s not in my Collins, Chambers or SOED; the more usual form is ‘ossuarium’, from which we get the more familiar ‘ossuary’ – ‘a container for the burial of human bones, such as a vault or urn’ (Collins)
"
14067,Poet in hot competition to secure love (6),HORACE,"Definition: Poet
H (hot) RACE (competition) round O (love) – the Roman poet and satirist Quintus Horatius Flaccus  – I rather liked this one, too
"
14068,"Very eager to start next page after turning (4,2)",EVER SO,"Definition: Very
E(ager) + VERSO (next page after turning)
"
14069,"Guide round home, a turn up for the book (6)",DANIEL,"Definition: book
A reversal (turn up) of LEAD (guide) round IN (home) for a book of the Old Testament
"
14070,"In second city, head to the bottom area steps (5)",RUMBA,"Definition: steps
BRUM (informal name for Birmingham, England’s ‘second city’) with its initial letter moved to the end – bottom – in a down clue + A (area)
"
14071,"Cast out from here? (5,4)",STAGE DOOR,"Cryptic definition – by which the actors leave
"
14072,Play around in floor in Japan (5),KYOTO,"Definition: in Japan
A reversal (around) of TOY (play) in KO (floor)
"
14073,Training with international aristocrat not off to a flyer (5),PEWIT,"Definition: flyer
PE (Physical Education – training) + W (with) + I (international) + T(off) (aristocrat, minus ‘off’) – I’m more familiar with the ‘peewit’ spelling
"
14074,"Dancing, it’s linked to being the most gracious (9)",KINDLIEST,"Definition: most gracious
An anagram (dancing) of IT’S LINKED
"
14075,Prime Minister familiarly welcomes northern old city with French greeting (7),BONJOUR,"Definition: French greeting
BOJO (familiar term for Boris Johnson) round N (northern) + UR (old city)
"
14076,Nurse abandons joining up programme (7),LISTING,"Definition: programme
[en]LISTING (joining up) minus EN (Enrolled Nurse) – with a nod to the theme
"
14077,"Informally, we first breakfast over porridge (5)",BRITS,"Definition: Informally, we
B[reakfast] (first **letter of**) + a reversal (over) of STIR (porridge – both slang for prison) – I foresee some objections to the definition!
"
14078,"Without limits, invest in pound (3)",PEN,"Definition: pound
[s]PEN[d] (invest)
"
14079,IT company starting to invent new revolutionary clouds (5),NIMBI,"Definition: clouds
A reversal (revolutionary) of IBM (computer company) + initial letters of Invent New
"
14080,Cars having many applications (7),LOTUSES,"Definition: Cars
LOT (many) + USES (applications)
"
14081,Ran away riding a horse that’s tired (7),FLAGGED,"Definition: tired
FLED (ran away) round A GG (a horse)
"
14082,One has no trouble getting their kids to eat greens (9),HERBIVORE,"Cryptic definition
"
14083,"Eats quickly? Not so fast, picking up fine when it’s brought back (5)",WOLFS,"Definition: Eats quickly
A reversal (brought back) of SLOW (not so fast) round F (fine)
"
14084,Planet Earth’s becoming over-­heated — let’s get leaders to retire (5),GLOBE,"Definition: Planet
A reversal (to retire) of the initial letters (leaders) of Earth’s Becoming Over-heated Let’s Get
"
14085,"Some stars spotted in Poundland, Rome? Daring! (9)",ANDROMEDA,"Definition: Some stars
Hidden in poundlAND ROME DAring

**Down**
"
14086,"Republican’s second in command, please reply (4)",RSVP,"Definition: please reply
R’S (Republican’s) VP (Vice President – second in command)
"
14087,Scientist: rising radical gains success (6),DARWIN,"Definition: Scientist
A reversal (rising) of RAD[ical] + WIN (success)
"
14088,They’re on the top floor or shelf? (10),PENTHOUSES,"Definition: They’re on the top flooror shelf?
Double definition, the second referring to the men’s magazine
"
14089,Heckle King and Queen’s agent (6),BOOKER,"Definition: agent
BOO (heckle) + K (King) + ER (Queen)
"
14090,"Founding father‘s honest, nothing being overturned (8)",FRANKLIN,"Definition: Founding father
FRANK (honest) + a reversal (overturned) of NIL (nothing)
"
14091,"Glances up, drains third of stout, cheers! (4)",SKOL,"Definition: cheers!
A reversal (up) of LO[o]KS (glances) minus o (third letter of stOut)
"
14092,Coward catches bishop’s virus regularly on front of mask element (8),NOBELIUM,"Definition: element
NOEL (Coward) round B (bishop) + alternate letters of vIrUs + M(ask)
"
14093,English cricketer is 4 of 16? (4),ROOT,"Definition: English cricketer
4 is the square root of 16
"
14094,Child left scene of confusion (5),BABEL,"Definition: scene of confusion
BABE (child) + L (left)
"
14095,Hospital boy’s raised to court daughter with fragrance (10),SANDALWOOD,"Definition: fragrance
SAN[atorium] (hospital) + a reversal (raised) of LAD (boy) + WOO (court) + D (daughter)
"
14096,"Wear down to earth, as Her Majesty might say (5)",GRIND,"Definition: Wear down
As the Queen might pronounce ‘ground’ (earth)
"
14097,Organised crime not building telephone system (8),INTERCOM,"Definition: building telephone system
An anagram (organised) of CRIME NOT
"
14098,After test regarding the country … (8),PASTORAL,"Definition: regarding the country
PAST (after) + ORAL (test)
"
14099,fellow lied about section’s answers (6),FIELDS,"Definition: answers
F (fellow) + an anagram (about) of LIED + S (section) – definition as in to field a question
"
14100,unlimited menu for anniversary (6),GOLDEN,"Definition: anniversary
G (£1,000) + O + L (50) + D (500) + [m]EN[u]
"
14101,Boss tells Grant to leave (4),HUGO,"Definition: Boss
HU (sounds like – tells – ‘Hugh’ {Grant}) + GO (leave)
"
14102,Object displaying kite mark (4),ITEM,"Definition: Object
Hidden in kITE Mark
"
14103,Playwright: ‘That’s a wrap!’ Not quite (4),SHAW,"Definition: Playwright
SHAW[l] (wrap)
"
14104,"Highland castle, central part opening, we hear? (6)",CAWDOR,"Definition: Highland castle
CAW (sounds like – we hear {but not to anyone who lives there!} ‘core’, central part) + DOR (sounds like ‘door’, opening)
"
14105,"Caution shown when playing king, fearful scoundrel nicking it? (6,4)",YELLOW CARD,"Definition: Caution shown when playing
YELLOW (fearful) + CAD (scoundrel) round R (king) – the official warning from a referee to a player who has committed an offence
"
14106,"Test of right and left, all characters on the far left (4)",ORAL,"Definition: Test
Initial letters (on the far left) of Of Right And Left
"
14107,"Vale on borders of Cymru, reportedly? (3,3)",SEE YOU,"Definition: Vale
Sounds like (reportedly) C U (‘borders’ of Cymru) – ‘vale’ is the Latin word for ‘farewell
"
14108,"Square peg moved then to practise intuitive approach quickly, so to speak? (8,2,3,5)",NINETEEN TO THE DOZEN,"Definition: quickly, so to speak
NINE (square) + TEE (peg) + an anagram (moved) of THEN TO + DO (practise) + ZEN (intuitive approach)
"
14109,Very old woman said to predict failure in honest spy (9),PYTHONESS,"Definition: Very old woman said to predict
An anagram (failure in) of HONEST SPY – the Pythoness was the priestess of the oracle of Apollo at Delphi
"
14110,"In Potsdam, I design pots! (4)",AMID,"Definition: In
Contained in potsdAM I Design
"
14111,"Third note, then second note (4)",MEMO,"Definition: note
ME (third note of the scale) + MO (second)
"
14112,Travesty reversed in perfect game for children (9),MINECRAFT,"Definition: game for children
A reversal (reversed) of FARCE (travesty) in MINT (perfect) – I didn’t know this game but the cluing is perfectly clear
"
14113,"After refurbishment, Chinese restaurant at first improves (8)",ENRICHES,"Definition: improves
An anagram (after refurbishment) of Chinese R[estaurant]
"
14114,"Bony thing, angle on figure by the sound of it? (6)",COCCYX,"Definition: Bony thing
Sounds like ‘cock’ (angle, both as verbs) + ‘six’ (figure)
"
14115,"Biscuit that’s new behind unopened sponge cakes, filling hole (6,4)",GINGER SNAP,"Definition: Biscuit
N (new) after [f]INGERS (sponge cakes) in GAP (hole) – I thought we’d had all of Paul’s biscuits last Saturday 😉
"
14116,Sudden flood of arrivals ruins new hospital (6),INRUSH,"Definition: Sudden flood of arrivals
An anagram (new) of RUINS + H (hospital)
"
14117,Get back on with success (6),RECOUP,"Definition: Get back
RE (on) + COUP (success)

 
"
14118,"Where servers cut, machine with battery dead (7)",CARVERY,"Definition: Where servers cut
CAR (machine with battery) + VERY (‘dead’ is slang for very) – I think
"
14119,Amount produced revealed change (7),OUTTURN,"Definition: Amount produced
OUT (revealed) + TURN (change) – I haven’t met this word before
"
14120,Flower and rotten nut they leave on stage (6),EXEUNT,"Definition: they leave on stage
(River – flower) EXE + an anagram (rotten) of NUT for the stage direction, plural of exit
"
14121,"Old trainer in ring made of metal, iron (4-5)",LION-TAMER,"Definition: Old trainer in ring
An anagram (made of) of METAL IRON
"
14122,Shrimpy shrimp went (3-4),WEE-WEED,"Definition: went
One definition of ‘shrimp is ‘a very small or puny person’ so it’s WEE (small – shrimpy) + WEED (‘a weak, ineffectual or unmanly man’)
"
14123,"Pay cut with last of cheques in post, frantic (2,4,4,3)",AT ONE’S WITS’ END,"Definition: frantic
I can’t quite see this: I got as far as ATONE (pay) + [cheque]S in SEND (post) but can’t see where WIT fits, so I must be on the wrong track – *Edit: WIT is cut WIT[h]*
"
14124,A beauty has boss and I overwhelmed by lust (9),HUMDINGER,"Definition: A beauty
MD (Manager Director – boss) + I in HUNGER (lust) – I can’t forgive the solecism of I in the surface  reading
"
14125,"Revealing garment, quick way to dress topless crime writer (7)",MANKINI,"Definition: Revealing garment,
I have no idea at all on this one –  *Edit; MI (M1 – quick way) round (Ian) [r]ankin, crime writer*
"
14126,Fugitive better protected by witness after heading for Egypt (7),ESCAPEE,"Definition: Fugitive
CAP (better, as a verb) in SEE (witness) after E(gypt) – this kind of word is one of my pet hates (cf attendee, standee) but I know it’s accepted, so I’m not blaming Paul
"
14127,Social life oddly uplifting for life form on Venus? (7),FLYTRAP,"Definition: life form on Venus
A reversal (uplifting) of PARTY (social) + odd letters of LiFe: FLYTRAP after (on) Venus gives the carnivorous plant
"
14128,"Picture puzzle endures, did you say, on mural, fancifully? (6,5)",WHERE’S WALLY,"Definition: Picture puzzle
WHERE’S (sounds like ) – did you say?) ‘wears ‘{endures}) + WALLY (mural – ‘of the nature of a wall’) – another of Paul’s trademark clues see here for the picture puzzle
"
14129,Candies and chocolates and others: source of all of those? (5),CACAO,"Initial letters (source – doing double duty) of Candies And Chocolates And Others
"
14130,"Half area ignored by Liberal Party, in effect (5,3,4)",FIFTY PER CENT,"Definition: Half
An anagram (liberal) of P[a]RTY IN EFFECT minus a (area)
"
14131,Female lost to prettier maiden (5),AIRER,"Definition: maiden
[f]AIRER (prettier) minus f (female) – I didn’t know ‘maiden’ meaning clothes-horse
"
14132,"Noted West Indian crop unruly mob gathered (3,6)",BOB MARLEY,"Definition: Noted West Indian
BARLEY (crop) round an anagram (unruly) of MOB – I have ~~‘Two ~~** Three ***(thanks [email protected] 😉 ) *little birds’ as an earworm now
"
14133,"Agreed European parting leaves nothing (5,2)",QUITE SO,"Definition: Agreed
E (European) in (parting) QUITS (leaves) + O (nothing)
"
14134,"Challenged when given the job (5,2)",TAKEN ON,"Definition: Challengedgiven the job
Double definition
"
14135,"The material placed in cathedral, as if from heaven? (10)",ETHEREALLY,"Definition: as if from heaven
THE REAL (material) in ELY (cathedral)
"
14136,Double clues rejected (4),SPIT,"Definition: Double
A reversal (rejected)of TIPS (clues)
"
14137,Chaps abroad losing the odd schilling (4),BODS,"Definition: Chaps
Even letters of aBrOaD + S (schilling)
"
14138,"Chant stopped by goal, poor result of on-field foul? (7-3)",SENDING-OFF,"Definition: result of on-field foul
SING (chant) round (stopped by) END (goal) + OFF (poor)
"
14139,Burrowing animal can hide all over the place (7),ECHIDNA,"Definition: Burrowing animal
An anagram (all over the place) of CAN HIDE
"
14140,Long-distance travellers step right aboard (7),SPACERS,"Definition: Long-distance travellers
PACE (step) R (right) in SS (on board)
"
14141,"Pocketing ten quid, retired banker set forth (9)",EXPOUNDED,"Definition: set forth
A reversal (retired) of DEE (banker) round X (ten) POUND (quid)
"
14142,African capital city running administration at outset? (5),ACCRA,"Definition: African capital
Initial letters (at outset) of African Capital City Running Administration
"
14143,Pal drops in at random after lunch (12),POSTPRANDIAL,"Definition: after lunch
An anagram (random) of PAL DROPS IN AT

 
"
14144,Coat I relinquished keeps last of men supplied (9),FURNISHED,"Definition: supplied
FUR (coat) I SHED (I relinquished) round [me]N
"
14145,"Antecedents, one more than Goldilocks had spoken of? (8)",FORBEARS,"Definition: Antecedents
Sounds like (spoken of) ‘four bears’ – one more than Goldilocks had: I was sure there was a spelling mistake here (I should have known better) and was surprised to see that both Collins and Chambers give this as a variant spelling of ‘forebears’ – I would pronounce the two (or three, actually) differently, too
"
14146,Contrary lad with personal problem? (5),YOBBO,"Definition: Contrary lad with personal problem
A reversal (contrary) of BOY (lad) + BO (personal problem) &lit
"
14147,"Struggling English master played like Bradman, bagging 50 (9)",EMBATTLED,"Definition: Struggling
E (English)+ M (master) + BATTED (played like Bradman) round L (50)
"
14148,Offbeat position in city’s banks (6),CRANKY,"Definition: Offbeat
RANK (position) in C[it]Y
"
14149,"Fabric, unknown line no Parisian’s stocking (5)",NYLON,"Definition: Fabric
NON (Parisian’s no) round (stocking) Y (unknown) L (line)
"
14150,Frustrated participants in superhuman quest (6),MANQUÉ,"Definition: Frustrated
Contained in superhuMAN QUEst
"
14151,Small seal picked up young swimmer (6),CYGNET,"Definition: young swimmer
Sounds like (picked up) ‘signet’ (small seal)
"
14152,"A country invaded by former queen, nominally great ruler (9)",ALEXANDER,"Definition: nominally great ruler
A LAND (a country) round EX (former) + ER (queen)
"
14153,"Established peace, banishing monsieur from a French region (9)",PROVENÇAL,"Definition: from a French region
PROVEN (established) + CAL[m] (peace, minus m – monsieur)
"
14154,"Soccer bosses in working gear in India, taking a break (2,6)",ON SAFARI,"Definition: taking a break
FA [Football Association – football bosses) in ON (working) SARI (Indian gear)
"
14155,"Offspring, it’s said, turned to drink (6)",BREWED,"Definition: turned to drink
Sounds like (it’s said) brood (offspring) – the drink could be beer or tea
"
14156,Budgetary control initially fails disastrously (6),FISCAL,"Definition: Budgetary
C[ontrol] + an anagram (disastrously) of FAILS
"
14157,Change bill by a whisker (6),ADJUST,"Definition: Change
AD (bill) + JUST (by a whisker)
"
14158,"Native African transported by ship, possibly (5)",HIPPO,"Definition: Native African
Contained in sHIP POssibly
"
14159,Rising American prosecutor joining northern state (5),SUDAN,"Definition: state
A reversal (rising, in a down clue) of US (American) + DA (District Attorney) + N (northern)
"
14160,Flipping jazzy piece — it’s just a number in musical style (6),GARAGE,"Definition: musical style
A reversal (flipping) of RAG (jazz piece) + AGE (from the saying, ‘Age is just a number’, which a friend of mine loves to write, reassuringly, on my birthday cards
"
14161,Create division among staff welcoming a teacher back (8),POLARISE,"Definition: Create division among
POLE (staff) round A + a reversal (back) of SIR (teacher): I love the precision of Picaroon’s cluing: it took me a moment to realise that ‘among’ was part of the definition – we already have an insertion indicator in ‘welcoming’
"
14162,They want specific fare for one boarding vehicles (6),VEGANS,"Definition: hey want specific fare
EG (exempli gratia – for one) in VANS (vehicles)
"
14163,Lots dare sporting figure-hugging attire (8),LEOTARDS,"Definition: figure-hugging attire
An anagram (sporting) of LOTS DARE: ‘sporting’ (= wearing) is often used as an insertion indicator – I’ve seen it disputed here as an anagram indicator but, for me, it works perfectly, in the sense of ‘playing’, which is a very common indicator
"
14164,Rendering standard line in opera I perform (11),NORMALISING,"Definition: Rendering standard
L (line) in NORMA (the familiar crossword opera) I SING (I perform)
"
14165,Engineer hadn’t really emptied water supply (7),HYDRANT,"Definition: water supply
An anagram (engineer) 0f HADN’T R[eall]Y (’emptied’)
"
14166,Mondeo car in America has built-in music player (7),OCARINA,"Definition: music player
Neatly hidden in mondeO CAR IN America
"
14167,People seeking money in careers stupidly following crossword setter (11),MERCENARIES,"Definition: People seeking money
ME (crossword setter) + an anagram (stupidly) of IN CAREERS (could be part of the definition)
"
14168,"Feel dazed, as you can in all these across solutions (3,5)",SEE STARS,"Definition: Feel dazed,you can in all these across solutions
Double definition
"
14169,"Expose buttocks, encasing right one in a bit of armour (6)",MORION,"Definition: a bit of armour
MOON (expose buttocks) round R (right) + I (one) – it’s an old Spanish helmet
"
14170,Treats like Italian tomatoes or miscellaneous items (8),SUNDRIES,"Definition: Treats like Italian tomatoesmiscellaneous items
Double definition
"
14171,Driver’s anger on London-to-Leeds journey? It’s not real (6),MIRAGE,"Definition: t’s not real
M1 (the London-to-Leeds motorway) + RAGE: a version of road rage (driver’s anger)

 
"
14172,"A male, say, picked up an order of business (6)",AGENDA,"Definition: an order of business
A GENDA (sounds something like – (‘picked up’ – gender {male say}) – I think / hope the use of ‘picked up’ as an indicator should forestall objections re dodgy homophones
"
14173,"Eagles maybe perfect circling isle on rocks (5,2,3)",HOLES IN ONE,"Definition: Eagles maybe
HONE (perfect) round an anagram (rocks) of ISLE ON
"
14174,Italian artist‘s staff sacked agent (8),MANTEGNA,"Definition: Italian artist
MAN (staff – a different use from the one in 6dn) + an anagram (sacked) of AGENT – I’m rather ashamed to say I didn’t know this artist
"
14175,"Fashion house awarded hot, extremely classy clothes (8)",GIVENCHY,"Definition: Fashion house
GIVEN (granted) + C[lass]Y round (clothes) H (hot)
"
14176,"Shifting gear keeps career up in this industry (3,5)",RAG TRADE,"Definition: this industry
An anagram (shifting) of GEAR round a reversal (up) of DART (career) – a very clever surface  (‘shifting gear’!)
"
14177,"Touching up during summer nights (2,2)",IN RE,"Definition: Touching
A hidden reversal (up, again) in summER NI[ghts] – a legal term, meaning ‘in the matter of, concerning’
"
14178,"Tablets, we hear, providing comfort (4)",EASE,"Definition: comfort
Sounds like (we hear) ‘Es’ (ecstasy tablets)
"
14179,Italian footballers on British grass produce a cross (10),INTERBREED,"Definition: produce a cross
INTER (Milan – Italian footballers) + B (British) + REED (grass)
"
14180,Asian islander assuming rising current in undulating plain (8),FILIPINA,"Definition: Asian islander
A reversal (rising) of IF (providing) + I (current) + an anagram (undulating – I liked that) of PLAIN
"
14181,The French queen tours American lakeside city (8),LAUSANNE,"Definition: akeside city
LA (the French) + ANNE (queen) round US (American)
"
14182,Revolutionary artist developed modelling framework (8),ARMATURE,"Definition: modelling framework
A reversal (revolutionary) of RA (artist) + MATURE (developed) – this word was in the back of my mind but I had to check that it’s ‘an open framework on which a sculpture is moulded with clay or similar material’
"
14183,Last couples in Hampstead beckon this sexy guy (6),ADONIS,"Definition: this sexy guy
Last two letters of hampsteAD beckON thIS: I love the outlandish sentences setters concoct for this kind of clue – here’s the sexy guy
"
14184,Revered figure with multiple lives (4),ISIS,"Definition: Revered figure
IS IS (multiple lives) – the Egyptian goddess, not the Oxford river, this time
"
14185,"Loaf, one maybe baked in a tin (4)",BEAN,"Definition: Loaf
Double definition – my last one in, as it took a while for the ‘baked in a tin’ penny to drop (doh!) and then for me to guess and check that BEAN, like ‘loaf’, is slang for ‘head’ – another great surface
"
14186,Dancing on drugs (8),TRIPPING,"Definition: Dancingon drugs
Double definition
"
14187,Pungent air envelopes Turkey (6),STRONG,"Definition: Pungent
SONG (air) round TR (Turkey – International vehicle registration) – ‘envelops’, surely?
"
14188,Experience being trapped in unsafe elevator (4),FEEL,"Definition: Experience
Contained in unsaFE ELevator
"
14189,"Church performer who evokes memories? (4,6)",BELL RINGER,"Definition: Church performer
Cryptic definition – as in ‘That rings a bell’
"
14190,Sharp part they oddly found on bottom of car (6),BITTER,"Definition: Sharp
BIT (part) + odd letters of ThEy + [ca]R – this would work better in a down clue
"
14191,"Cassette unravelled in ground-breaking action (4,4)",TEST CASE,"Definition: ground-breaking action
An anagram (unravelled – neat) of CASSETTE
"
14192,Return record featuring small exercise book (6),GOSPEL,"Definition: book
A reversal (return) of LOG (record) round S (small) PE (exercise)
"
14193,Failures of devotees accepting second in place of victory (6),LOSERS,"Definition: Failures
LO[v]ERS (devotees) with S (second) in place of v (victory)
"
14194,"Poseur failing to hide, for example, unconscious inhibitor (8)",SUPEREGO,"Definition: unconscious inhibitor
An anagram (failing) of POSEUR round EG (for example)
"
14195,Infernal path lacking love and depth (6),CURSED,"Definition: Infernal
C[o]URSE (path, minus o – love) + D (depth)
"
14196,Note nine mull about for a long time (10),MILLENNIUM,"Definition: a long time
MI (note) + an anagram (about) of NINE MULL
"
14197,Butters ribs (4),KIDS,"Double definition
"
14198,"Go away and live with American bird (4,2)",BEAT IT,"Definition: Go away
BE (live) + A (American) + TIT (bird)
"
14199,Main issue journalist spiced up (8),SEASONED,"Definition: spiced up
SEA (main) + SON (issue) + ED (journalist)

 
"
14200,Short person from Athens can start to give time of day (8),GREETING,"Definition: time of day
GREE[k] (person from Athens, short) + TIN (can) + G[ive]
"
14201,Stone heads of organisation promoting antiquated laws (4),OPAL,"Definition: Stone
Initial letters of Organisation Promoting Antiquated Laws
"
14202,Expel from court detectives with cake (6),DISBAR,"Definition: Expel from court
DIS (Detective Inspectors) + BAR (cake – of soap, say)
"
14203,Fuel provider stocking reduced iron drink (8),ESPRESSO,"Definition: drink
ESSO (fuel provider) round PRES[s] (reduced iron)
"
14204,"Ex cooked with corn, herb and raspberry (5,5)",BRONX CHEER,"Definition: raspberry
An anagram (cooked) of EX CORN HERB: a new one on me – see here
"
14205,Answer involves revolutionary stage for benefactors (6),ANGELS,"Definition: benefactors
ANS (answer) round a reversal (revolutionary) of LEG (stage)
"
14206,Set upon endless path with love — sweet! (6),GELATO,"Definition: sweet
GEL (set) + [p]AT[h]+ O (love)
"
14207,Others regularly dispose of a hollow tile to fit together without gaps (10),TESSELLATE,"Definition: fit together without gaps
Alternate letters of oThErS + SELL (dispose of) + A T[il]E – as in making a mosaic pavement, so a neat use of ’tile’
"
14208,Tiny tree flowering forever (8),ETERNITY,"Definition: forever
An anagram (flowering?) of TINY TREE
"
14209,Fixed second drink and stopped working (8),STEADIED,"Definition: Fixed
S (second) + TEA (drink) + DIED (stopped working)
"
14210,Unfortunate smell passes main parts (6),BODIES,"Definition: main parts
BO (unfortunate smell) + DIES (passes)
"
14211,Performing in duet together (6),UNITED,"Definition: together
An anagram (performing) of IN DUET
"
14212,Fight doctor in film (6),COMBAT,"Definition: Fight
MB (doctor) in COAT (film)
"
14213,Handle idiot (4),KNOB,"Definition: (
Double definition
"
14214,Yearning to forego last tablet (7),ASPIRIN,"Definition: tablet
ASPIRIN[g] (yearning, minus its last letter)
"
14215,Cat’s in the bag — start to hunt bear (7),STOMACH,"Definition: bear
TOM (cat) in SAC (bag) + H(unt)
"
14216,Top-class gunmen conserve energy but waste material (4),UREA,"Definition: waste material
U (top-class) + RA (Royal Artillery – gunmen) round E (energy)
"
14217,Giving heart to sons at university breeding hogs (10),REASSURING,"Definition: Giving heart to
REARING (breeding) round (hogs) SS (sons) + U (University)
"
14218,Zurich banker invests European cell contents (6),GENOME,"Definition: cell contents
GNOME (Zurich banker) round E (European)
"
14219,Groom’s job? Running after bride at the start (8),BRUSHING,"Definition: Groom’s job?
B[ride] + RUSHING (running)
"
14220,Get a load of Tories to tour British plant (9),EYEBRIGHT,"Definition: plant
EYE (get a load of) + RIGHT (Tories) round B (British)
"
14221,Units in temple belt round it perhaps (5),WAIST,"Definition: belt round it perhaps
IS (ones – units) in WAT (temple)
"
14222,"Ailsa Craig, say, has been rented (5)",ISLET,"Definition: Ailsa Craig, say
IS LET (has been rented) – I expect you’ve looked up Ailsa Craig for yourself: a Scottish island visible from Northern Ireland, being roughly half-way between Glasgow and Belfast – I remember it well; it’s also a variety of tomato but here, I think, following the theme, there’s an allusion to the Islets of Langerhans, a name which I remember fascinating me in Biology lessons
"
14223,"Daniel ran off, stimulated by this? (9)",ADRENALIN,"Definition: this
An anagram ((off) of DANIEL RAN – a great surface, since adrenalin triggers the ‘fight-or-flight’ response
"
14224,Stalin’s enforcer concealed routine bugs (8),BACTERIA,"Definition: bugs
BERIA (Stalin’s enforcer) round ACT (routine, as in the theatre, say)
"
14225,A spruce shelters posh courtyard (6),ATRIUM,"Definition: courtyard
A TRIM (spruce) round U (posh) – and, following the theme, it’s also one of the chambers of the heart
"
14226,"Unicef works with mint, dis­pensing lots of money (10)",MUNIFICENT,"Definition: dis­pensing lots of money
An anagram (works) of UNICEF and MINT
"
14227,Medic with very little cash for drug supplier (4),DRIP,"Definition: drug supplier
DR (medic) + I (one) P (penny) – very little cash
"
14228,Book season involving censor’s cases (7),BAGGAGE,"Definition: cases
B (book) + AGE (season) round GAG (censor)
"
14229,"Foreign invader, colonist with current information (7)",ANTIGEN,"Definition: Foreign invader
ANT (colonist) + I (current) + GEN (information)

 
"
14230,Work in theatre bound to include good lines (7),SURGERY,"Definition: Work in theatre
SURE (bound) round G (good) + RY (railway – lines)
"
14231,"It’s matured and gone off? Initially, yes (5)",IMAGO,"Definition: It’s matured
Initial letters of It’s Matured And Gone Off
"
14232,PM once rebuffs Democrat from an ME country (7),ISRAELI,"Definition: from an ME country
[d]ISRAELI (Benjamin, PM once) minus d (democrat)
"
14233,Time to put out paper (6),TISSUE,"Definition: paper
T (time) + ISSUE (put out)
"
14234,"A human staggered, inhaling foul air, the dope! (9)",MARIHUANA,"Definition: the dope
An anagram (staggered) of A HUMAN round an anagram (foul) of AIR
"
14235,"Med resort hosts international for Wolves, maybe (7)",CANINES,"Definition: Wolves, maybe
CANNES (Med resort) round I (international)
"
14236,Big bottle full of hard fruit containing radical sources of energy (13,CARBOHYDRATES,"Definition: sources of energy
CARBOY (big bottle) round H (hard) + DATES (fruit) round R (radical)
"
14237,Instinctive activity to do with washing clothes (9),BREATHING,"Definition: Instinctive activity
BATHING (washing) round (clothes) RE (to do with)
"
14238,Bone up over in opera house (7),SCAPULA,"Definition: Bone
A reversal (over) of UP in (La) SCALA (opera house)
"
